area,location,number_rooms,price_per_meter,url
"67,80 m²","Wrocław, dolnośląskie",3 pokoje,11 873 zł/m²,https://www.otodom.pl/oferta/perelka-victoria-67m3-3-pokoje-lux-ID44W2s.html#ae255a2939
"41,25 m²","Wrocław, dolnośląskie",2 pokoje,9 939 zł/m²,https://www.otodom.pl/oferta/7-minut-pieszo-od-dworca-glownego-ID42otG.html#ae255a2939
"30,90 m²","Wrocław, dolnośląskie",1 pokój,9 353 zł/m²,https://www.otodom.pl/oferta/kawalerka-nowa-2011-30m2-rozklad-ID44W22.html#ae255a2939
"51,90 m²","Wrocław, dolnośląskie",2 pokoje,6 262 zł/m²,https://www.otodom.pl/oferta/tanio-rozklad-2-pokoje-50mkw-okazja-ID44W23.html#ae255a2939
"32,99 m²","Wrocław, dolnośląskie",1 pokój,8 600 zł/m²,https://www.otodom.pl/oferta/mieszkanie-osiedle-czartoryskiego-ID44W21.html#ae255a2939
"34,73 m²","Wrocław, Fabryczna, Grabiszyn",1 pokój,7 519 zł/m²,https://www.otodom.pl/oferta/mieszkanie-34-73-m-wroclaw-ID44W20.html#ae255a2939
"61,80 m²","Wrocław, dolnośląskie",2 pokoje,7 362 zł/m²,https://www.otodom.pl/oferta/perelka-teczowa-2-3-pokoje-61m2-lux-balkon-ID44W1Y.html#ae255a2939
"43,52 m²","Wrocław, Krzyki, Wojszyce",2 pokoje,7 100 zł/m²,https://www.otodom.pl/oferta/mieszkanie-43-52-m-wroclaw-ID44W1X.html#ae255a2939
"47,90 m²","Wrocław, dolnośląskie",3 pokoje,7 912 zł/m²,https://www.otodom.pl/oferta/perelka-3-pokoje-ok-grabiszynska-47m2-ID44W1W.html#ae255a2939
"44,90 m²","Wrocław, dolnośląskie",3 pokoje,8 664 zł/m²,https://www.otodom.pl/oferta/perelka-gajowicka-3-pokoje-rozklad-44m2-ID44W1S.html#ae255a2939
224 m²,"Wrocław, Fabryczna, Stabłowice",5 pokoi,działka 524 m²,https://www.otodom.pl/oferta/okolice-dziarskiej-taras-ogrod-garaz-ID44W1K.html#ae255a2939
224 m²,"Wrocław, Krzyki, Jagodno",5 pokoi,działka 524 m²,https://www.otodom.pl/oferta/dzialka-na-jagodnie-media-ID44W1t.html#ae255a2939
"51,80 m²","Wrocław, Krzyki, Południe",2 pokoje,6 853 zł/m²,https://www.otodom.pl/oferta/lokalizacja-inwestycyjna-rozklad-2000-r-ID44W1h.html#ae255a2939
35 m²,"Wrocław, Śródmieście",2 pokoje,9 686 zł/m²,https://www.otodom.pl/oferta/ok-zoo-pod-wynajem-super-lokalizacja-ID44W1g.html#ae255a2939
35 m²,"Wrocław, Fabryczna, Muchobór Wielki",2 pokoje,9 686 zł/m²,https://www.otodom.pl/oferta/lokal-uzytkowy-dwa-poziomy-101-m2-muchobor-wlk-ID44oYw.html#ae255a2939
51 m²,"Wrocław, Krzyki",3 pokoje,7 549 zł/m²,https://www.otodom.pl/oferta/okolice-uniwersytetu-ekonomicznego-rozklad-piwnica-ID44W1b.html#ae255a2939
285 m²,"Wrocław, Psie Pole, Karłowice",6 pokoi,działka 324 m²,https://www.otodom.pl/oferta/piekne-karlowice-ID44W16.html#ae255a2939
"99,10 m²","Wrocław, Fabryczna",4 pokoje,6 044 zł/m²,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-o-pow-99m-wraz-z-garazem-ID43yip.html#ae255a2939
54 m²,"Wrocław, Fabryczna",3 pokoje,8 333 zł/m²,https://www.otodom.pl/oferta/3-pokoje-klima-agd-gotowe-popowice-ID44eH9.html#ae255a2939
47 m²,"Wrocław, Fabryczna, Maślice",2 pokoje,8 404 zł/m²,https://www.otodom.pl/oferta/swietna-lokalizacja-miejsce-pos-w-cenie-antresola-ID44W0l.html#ae255a2939
"68,08 m²","Wrocław, Fabryczna, Stabłowice",4 pokoje,6 316 zł/m²,https://www.otodom.pl/oferta/4-pokoje-gotowe-ostatnie-z-ogrodkiem-dwustronne-ID44TbZ.html#ae255a2939
"36,52 m²","Wrocław, Krzyki, Jagodno",2 pokoje,8 490 zł/m²,https://www.otodom.pl/oferta/2-pokoje-mozliwa-oddzielna-kuchnia-dwustronne-ID44S9k.html#ae255a2939
"28,67 m²","Wrocław, Krzyki, Jagodno",1 pokój,8 490 zł/m²,https://www.otodom.pl/oferta/kawalerka-z-mozliwa-oddzielenia-kuchni-krzyki-ID44Sc5.html#ae255a2939
"70,13 m²","Wrocław, Fabryczna, Oporów",3 pokoje,6 300 zł/m²,https://www.otodom.pl/oferta/2-3-pokoje-dwupoziomowe-zachod-gotowe-28052-zl-ID44T8i.html#ae255a2939
"46,94 m²","Wrocław, Krzyki, Księże Małe",2 pokoje,8 948 zł/m²,https://www.otodom.pl/oferta/okolice-czechowickiej-loggia-winda-2019-ID44UZR.html#ae255a2939
63 m²,"Wrocław, Fabryczna",3 pokoje,6 825 zł/m²,https://www.otodom.pl/oferta/muchobor-maly-szkocka-3-pokoje-bezposrednio-ID44HNX.html#ae255a2939
63 m²,"Wrocław, Fabryczna, Muchobór Mały",3 pokoje,6 825 zł/m²,https://www.otodom.pl/oferta/3pok-w-rozkl-z-m-miejskimi-w-cichej-okolicy-ID44JaL.html#ae255a2939
30 m²,"Wrocław, Fabryczna, Grabiszyn",1 pokój,10 500 zł/m²,https://www.otodom.pl/oferta/mieszkanie-wroclaw-grabiszyn-ID44LqX.html#ae255a2939
"47,57 m²","Wrocław, dolnośląskie",2 pokoje,6 937 zł/m²,https://www.otodom.pl/oferta/2pok-w-rozkl-w-lokalizacji-inwestycyjnej-ID44LI5.html#ae255a2939
64 m²,"Wrocław, Fabryczna, Nowy Dwór",3 pokoje,6 734 zł/m²,https://www.otodom.pl/oferta/wolne-od-zaraz-3osobne-pokoje-idealne-dla-rodziny-ID44zAF.html#ae255a2939
58 m²,"Wrocław, Krzyki, Tarnogaj",3 pokoje,8 500 zł/m²,https://www.otodom.pl/oferta/3pok-w-budynku-z-2013-roku-ID44GVp.html#ae255a2939
50 m²,"Wrocław, Fabryczna, Gądów Mały",2 pokoje,8 200 zł/m²,https://www.otodom.pl/oferta/balkon-media-miejskie-niska-zabudowa-gadow-ID44EIZ.html#ae255a2939
62 m²,"Wrocław, Krzyki, Południe",3 pokoje,9 661 zł/m²,https://www.otodom.pl/oferta/nowe-gotowe-po-odbiorze-62m2-ID421RU.html#ae255a2939
65 m²,"Wrocław, Psie Pole, Lipa Piotrowska",4 pokoje,7 462 zł/m²,https://www.otodom.pl/oferta/4-pok-z-ogrodkiem-okazja-lipa-piotrowska-ID44UZu.html#ae255a2939
100 m²,"Wrocław, Fabryczna, Pilczyce",3 pokoje,działka 1 040 m²,https://www.otodom.pl/oferta/okolice-stadionu-miejskiego-ogrod-ID44UZt.html#ae255a2939
56 m²,"Wrocław, Krzyki, Borek",3 pokoje,8 196 zł/m²,https://www.otodom.pl/oferta/ok-kruczej-dla-inwestora-super-lokalizacja-ID44FUQ.html#ae255a2939
"27,90 m²","Wrocław, Śródmieście, Sępolno",1 pokój,10 358 zł/m²,https://www.otodom.pl/oferta/zielona-okolica-piekne-sepolno-ok-dembowskiego-ID44Hvj.html#ae255a2939
51 m²,"Wrocław, Fabryczna, Gądów Mały",2 pokoje,7 824 zł/m²,https://www.otodom.pl/oferta/okazja-bystrzycka-z-potencjalem-balkon-ID44N6f.html#ae255a2939
54 m²,"Wrocław, Krzyki",2 pokoje,8 000 zł/m²,https://www.otodom.pl/oferta/spokojna-okolica-nowe-bud-od-zaraz-gaj-ID44RbN.html#ae255a2939
44 m²,"Wrocław, Krzyki, Południe",2 pokoje,6 750 zł/m²,https://www.otodom.pl/oferta/super-lokalizacja-idealne-pod-wynajem-cicho-ID44L9D.html#ae255a2939
63 m²,"Wrocław, Psie Pole",3 pokoje,6 333 zł/m²,https://www.otodom.pl/oferta/rozkladowe-pokoje-mozliwosc-4-pokoi-i-pietro-ID44NTs.html#ae255a2939
83 m²,"Wrocław, Psie Pole, Lipa Piotrowska",4 pokoje,6 614 zł/m²,https://www.otodom.pl/oferta/balkon-4-pokoje-do-wprowadzenia-ID44h0c.html#ae255a2939
"43,02 m²","Wrocław, Krzyki, Borek",2 pokoje,7 903 zł/m²,https://www.otodom.pl/oferta/ul-raclawicka-rog-ul-sokolej-2-pokoje-340-000-zl-ID44IGY.html#ae255a2939
"43,02 m²","Wrocław, Rynek",2 pokoje,7 903 zł/m²,https://www.otodom.pl/oferta/stare-miastolokal-biurowy-98-7mul-rynek-ID44zl4.html#ae255a2939
61 m²,"Wrocław, Krzyki, Wojszyce",3 pokoje,8 607 zł/m²,https://www.otodom.pl/oferta/dobra-oferta-dla-mlodych-rodzin-nowe-osiedle-ID44IEa.html#ae255a2939
45 m²,"Wrocław, Krzyki",3 pokoje,8 644 zł/m²,https://www.otodom.pl/oferta/inwestycja-lokalizacja-pelny-rozklad-ID44TSm.html#ae255a2939
44 m²,"Wrocław, Fabryczna, Grabiszyn",3 pokoje,9 432 zł/m²,https://www.otodom.pl/oferta/atrakcyjna-oferta-super-lokalizacja-inwestycja-ID44bCd.html#ae255a2939
"83,77 m²","Wrocław, Krzyki, Klecina",4 pokoje,7 640 zł/m²,https://www.otodom.pl/oferta/klecina-4-pokoje-84mul-cukrowagarazkomorka-ID44eeo.html#ae255a2939
"91,89 m²","Wrocław, Fabryczna",3 pokoje,8 300 zł/m²,https://www.otodom.pl/oferta/apartament-grabiszyn-91-98m2-ID44UZ9.html#ae255a2939
"53,74 m²","Wrocław, Krzyki",3 pokoje,7 876 zł/m²,https://www.otodom.pl/oferta/duzy-taras-3-pokoje-dla-rodziny-ID44UZ8.html#ae255a2939
"74,25 m²","Wrocław, Krzyki",3 pokoje,7 879 zł/m²,https://www.otodom.pl/oferta/mieszkanie-wysoka-konna-z-tarasem-i-ogrodkiem-ID44HKo.html#ae255a2939
"68,75 m²","Wrocław, Krzyki, Tarnogaj",3 pokoje,7 999 zł/m²,https://www.otodom.pl/oferta/3-pokoje-balkon-winda-garaz-tarnogaj-os-innova-ID44UXB.html#ae255a2939
104 m²,"Wrocław, dolnośląskie",3 pokoje,działka 898 m²,https://www.otodom.pl/oferta/okazja-energooszczedny-dom-pod-wroclawiem-ID41XPI.html#ae255a2939
64 m²,"Wrocław, Śródmieście",3 pokoje,7 328 zł/m²,https://www.otodom.pl/oferta/3pokoje-osobna-kuchnia-pl-sw-macieja-nadodrze-ID44UXw.html#ae255a2939
190 m²,"Wrocław, Krzyki, Wojszyce",5 pokoi,działka 1 072 m²,https://www.otodom.pl/oferta/piekny-dom-dla-rodziny-lub-pod-dzialalnos-krzyki-ID44UXe.html#ae255a2939
"68,75 m²","Wrocław, Krzyki, Tarnogaj",3 pokoje,7 999 zł/m²,https://www.otodom.pl/oferta/innova-bez-pcc-3-pokoje-69-m2-krzyki-tarnogaj-ID44UXf.html#ae255a2939
"78,14 m²","Wrocław, Stare Miasto",4 pokoje,10 000 zł/m²,https://www.otodom.pl/oferta/apartamentwidok-panorama-wroclawiakomfortwygoda-ID44UXb.html#ae255a2939
"48,20 m²","Wrocław, Krzyki",2 pokoje,7 328 zł/m²,https://www.otodom.pl/oferta/krzykiwindabalkonstrefy-zielenigotowe-ID44UX9.html#ae255a2939
"52,23 m²","Wrocław, Fabryczna, Gądów Mały",2 pokoje,7 448 zł/m²,https://www.otodom.pl/oferta/sprzedam-mieszkanie-ID44KIC.html#1dc5a9f862
"52,23 m²","Wrocław, Fabryczna, Kozanów",2 pokoje,7 448 zł/m²,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-37-m2-z-balkonem-ID44Eb2.html#1dc5a9f862
"49,40 m²","Wrocław, Psie Pole, Karłowice",3 pokoje,6 984 zł/m²,https://www.otodom.pl/oferta/trzy-pokoje-tramwaj-ID44fPa.html#1dc5a9f862
"48,70 m²","Wrocław, Krzyki",2 pokoje,7 308 zł/m²,https://www.otodom.pl/oferta/krzykigotowez-dla-od-zgielku-miastataraswinda-ID44UX8.html#1dc5a9f862
"62,08 m²","Wrocław, Stare Miasto",3 pokoje,10 500 zł/m²,https://www.otodom.pl/oferta/widok-na-rzekestare-miastogotowetinwestycja-ID44UX7.html#1dc5a9f862
41 m²,"Wrocław, Śródmieście",2 pokoje,9 363 zł/m²,https://www.otodom.pl/oferta/wsrod-zieleniprzystanbalkonpromenadawinda-ID44UX6.html#1dc5a9f862
"53,30 m²","Wrocław, Śródmieście",3 pokoje,8 764 zł/m²,https://www.otodom.pl/oferta/przystanparktarasochronakajakisilowania-ID44UX3.html#1dc5a9f862
"52,70 m²","Wrocław, Śródmieście, Sępolno",3 pokoje,8 742 zł/m²,https://www.otodom.pl/oferta/parkmini-portsloneczny-bulwarochronawinda-ID44UX2.html#1dc5a9f862
"57,20 m²","Wrocław, Śródmieście",3 pokoje,8 764 zł/m²,https://www.otodom.pl/oferta/przystanfitnessbalkonwindakompleksowe-osiedle-ID44UVX.html#1dc5a9f862
"56,21 m²","Wrocław, Śródmieście, Centrum",3 pokoje,9 200 zł/m²,https://www.otodom.pl/oferta/mieszkanie-wroclaw-srodmiescie-ID44UX0.html#1dc5a9f862
"50,62 m²","Wrocław, Krzyki, Klecina",3 pokoje,8 500 zł/m²,https://www.otodom.pl/oferta/3-pokoje-na-klecinie-ID44UVY.html#1dc5a9f862
"62,15 m²","Wrocław, Krzyki",3 pokoje,7 797 zł/m²,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-w-centrum-wroclawia-ID44UVW.html#1dc5a9f862
"73,70 m²","Wrocław, Śródmieście",4 pokoje,8 579 zł/m²,https://www.otodom.pl/oferta/promenadamini-portwindabalkonwsrod-zielen-ID44UVS.html#1dc5a9f862
"60,13 m²","Wrocław, dolnośląskie",3 pokoje,6 990 zł/m²,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-na-jagodnie-ID44UVU.html#1dc5a9f862
"63,13 m²","Wrocław, Śródmieście, Centrum",3 pokoje,10 500 zł/m²,https://www.otodom.pl/oferta/widok-na-rzeke-duzy-balkon-scisle-centrum-ID44UVT.html#1dc5a9f862
"16,97 m²","Wrocław, Fabryczna",1 pokój,8 191 zł/m²,https://www.otodom.pl/oferta/apartamenty-pod-inwestycje-promocja-ID44UVR.html#1dc5a9f862
"63,60 m²","Wrocław, Krzyki",3 pokoje,6 766 zł/m²,https://www.otodom.pl/oferta/gotowe-krzykiwindabalkondwustronne-ID44UVP.html#1dc5a9f862
71 m²,"Wrocław, Stare Miasto",4 pokoje,8 437 zł/m²,https://www.otodom.pl/oferta/bezposrednio-inwestycja-roi-9-88-pl-muzealny-ID44SWc.html#1dc5a9f862
"49,30 m²","Wrocław, Stare Miasto",3 pokoje,9 775 zł/m²,https://www.otodom.pl/oferta/stare-miasto-szczepin-ul-scinawska-po-remoncie-ID44SUF.html#1dc5a9f862
60 m²,"Wrocław, Krzyki, Ołtaszyn",3 pokoje,8 317 zł/m²,https://www.otodom.pl/oferta/tylko-u-nas-gotowe-do-wprowadzenia-ID44UVh.html#1dc5a9f862
112 m²,"Wrocław, Krzyki, Południe",6 pokoi,16 875 zł/m²,https://www.otodom.pl/oferta/4-studia-w-centrum-gwarantowany-roi-7-rok-5-lat-ID44UWy.html#1dc5a9f862
"49,04 m²","Wrocław, Fabryczna, Stabłowice",2 pokoje,6 790 zł/m²,https://www.otodom.pl/oferta/2-osobne-pokoje3-min-przystanekostatnie-ID44UWv.html#1dc5a9f862
47 m²,"Wrocław, Śródmieście, Centrum",3 pokoje,9 574 zł/m²,https://www.otodom.pl/oferta/klimatyczne-mieszkanie-3-pokoje-przy-sky-tower-ID4458N.html#1dc5a9f862
47 m²,"Wrocław, Fabryczna, Leśnica",3 pokoje,9 574 zł/m²,https://www.otodom.pl/oferta/rezydencja-na-sprzedaz-ID44mT5.html#1dc5a9f862
240 m²,"Wrocław, Fabryczna, Oporów",5 pokoi,działka 1 067 m²,https://www.otodom.pl/oferta/dom-jednorodzinny-wolnostojacy-oporow-ID43Ng5.html#1dc5a9f862
26 m²,"Wrocław, Fabryczna, Grabiszyn",1 pokój,10 765 zł/m²,https://www.otodom.pl/oferta/piekna-kawalerka-wroclaw-ul-lubuska-centrum-ID44w0W.html#1dc5a9f862
"33,32 m²","Wrocław, Fabryczna, Grabiszyn",2 pokoje,10 474 zł/m²,https://www.otodom.pl/oferta/kolo-parku-grabiszynskiego-lux-garderoba-ID443sN.html#1dc5a9f862
66 m²,"Wrocław, Fabryczna, Grabiszynek",3 pokoje,7 106 zł/m²,https://www.otodom.pl/oferta/3-pok-rozklad-mieszkanie-ul-inzynierska-66m2-ID44BAr.html#1dc5a9f862
"56,43 m²","Wrocław, Śródmieście",2 pokoje,8 843 zł/m²,https://www.otodom.pl/oferta/inwestycja-wroclaw-sw-wincentego-roi-9-1-ID44Dbq.html#1dc5a9f862
"32,50 m²","Wrocław, Krzyki, Huby",1 pokój,6 077 zł/m²,https://www.otodom.pl/oferta/kawalerka-do-remontu-huby-gajowa-roi10-ID44OaN.html#1dc5a9f862
72 m²,"Wrocław, Krzyki, Gaj",5 pokoi,8 319 zł/m²,https://www.otodom.pl/oferta/inwestycja-wroclaw-krynicka-roi-9-7-ID44Dbr.html#1dc5a9f862
"87,29 m²","Wrocław, Śródmieście, Ołbin",3 pokoje,7 217 zł/m²,https://www.otodom.pl/oferta/duze-mieszkanie-w-centrum-miasta-88mkw-3-pokoje-ID44GRF.html#1dc5a9f862
"130,12 m²","Wrocław, Krzyki, Huby",3 pokoje,6 071 zł/m²,https://www.otodom.pl/oferta/4-kawalerki-w-top-lokalizacji-gajowa-roi-10-eng-ID44FUk.html#1dc5a9f862
66 m²,"Wrocław, Krzyki, Ołtaszyn",3 pokoje,8 550 zł/m²,https://www.otodom.pl/oferta/mieszkanie-pod-klucz-z-komorka-i-parkingiem-ID44UTe.html#1dc5a9f862
80 m²,"Wrocław, Psie Pole",4 pokoje,6 500 zł/m²,https://www.otodom.pl/oferta/0-prowizji-miejsce-postojowe-w-cenie-pilne-ID440JE.html#1dc5a9f862
18 m²,"Wrocław, dolnośląskie",1 pokój,12 389 zł/m²,https://www.otodom.pl/oferta/kawalerka-po-remoncie-na-ulicy-szczesliwej-ID44Dck.html#1dc5a9f862
"59,67 m²","Wrocław, Fabryczna, Oporów",3 pokoje,6 896 zł/m²,https://www.otodom.pl/oferta/dla-osob-poszukujacych-przestrzeni-gotowe-za-m-c-ID44U6n.html#1dc5a9f862
"65,78 m²","Wrocław, Fabryczna",3 pokoje,7 500 zł/m²,https://www.otodom.pl/oferta/gotowe-3-pokoje-ogrod-loggia-przy-stadionie-ID44USH.html#1dc5a9f862
"79,49 m²","Wrocław, Fabryczna, Złotniki",3 pokoje,5 800 zł/m²,https://www.otodom.pl/oferta/42-metrowy-salon-kameralna-zabudowa-duzo-okien-ID44U74.html#1dc5a9f862
"81,26 m²","Wrocław, Fabryczna, Maślice",4 pokoje,7 990 zł/m²,https://www.otodom.pl/oferta/ogrodek-250m2-liczne-przeszklenia-system-smart-ID44UbZ.html#1dc5a9f862
"81,19 m²","Wrocław, Fabryczna, Maślice",4 pokoje,6 890 zł/m²,https://www.otodom.pl/oferta/taras-20m2-system-smart-przeszklona-sciana-ID44Uen.html#1dc5a9f862
"50,12 m²","Wrocław, Fabryczna, Maślice",3 pokoje,6 790 zł/m²,https://www.otodom.pl/oferta/3-pokoje-o-podwyzszonym-standardzie-system-smart-ID44Ufm.html#1dc5a9f862
"34,67 m²","Wrocław, Fabryczna, Maślice",2 pokoje,7 690 zł/m²,https://www.otodom.pl/oferta/2-pokoje-z-systemem-smart-idealne-na-start-ID44Ugg.html#1dc5a9f862
"68,08 m²","Wrocław, Fabryczna",4 pokoje,6 316 zł/m²,https://www.otodom.pl/oferta/4-pokoje-z-ogrodkiem-67m2-gotowe-do-odbioru-ID44UgN.html#1dc5a9f862
"46,86 m²","Wrocław, Krzyki, Jagodno",2 pokoje,6 990 zł/m²,https://www.otodom.pl/oferta/sloneczne-2-pokoje-na-kompleksowym-osiedlu-ID44UhL.html#1dc5a9f862
"77,49 m²","Wrocław, Krzyki, Księże Wielkie",4 pokoje,7 738 zł/m²,https://www.otodom.pl/oferta/gotowe-4km-od-centrum-kompleksowe-osiedle-ID44Uip.html#1dc5a9f862
50 m²,"Wrocław, Krzyki, Tarnogaj",2 pokoje,8 990 zł/m²,https://www.otodom.pl/oferta/tarnogaj-duze-2-pokoje-z-osobna-kuchnia-na-vip-ID44UiO.html#1dc5a9f862
"31,54 m²","Wrocław, Fabryczna, Nowy Dwór",2 pokoje,9 840 zł/m²,https://www.otodom.pl/oferta/wykonczenie-z-agd-gotowe-do-odbioru-loggia-ID44Uk4.html#1dc5a9f862
"72,78 m²","Wrocław, Psie Pole, Karłowice",3 pokoje,12 900 zł/m²,https://www.otodom.pl/oferta/nad-odra-prestizowa-inwestycja-wysoki-standard-ID44Uky.html#1dc5a9f862
"119,79 m²","Wrocław, dolnośląskie",4 pokoje,18 800 zł/m²,https://www.otodom.pl/oferta/penthouse-bezposrednio-nad-odra-wysoki-standard-ID44Ul2.html#1dc5a9f862
40 m²,"Wrocław, Krzyki, Tarnogaj",2 pokoje,10 750 zł/m²,https://www.otodom.pl/oferta/okolice-klimasa-balkon-2018-lux-ID44USx.html#1dc5a9f862
180 m²,"Wrocław, Psie Pole, Strachocin",5 pokoi,działka 390 m²,https://www.otodom.pl/oferta/lata-90-kameralne-osiedle-ID43JMX.html#1dc5a9f862
37 m²,"Wrocław, Fabryczna, Gądów Mały",2 pokoje,7 973 zł/m²,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-przytulne-rozkladowe-w-zieleni-ID44Kdu.html#1dc5a9f862
"40,80 m²","Wrocław, Fabryczna, Muchobór Mały",2 pokoje,6 985 zł/m²,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-muchobor-maly-australijska-ID44E8j.html#1dc5a9f862
46 m²,"Wrocław, Krzyki",2 pokoje,7 652 zł/m²,https://www.otodom.pl/oferta/nowe-gotowe-2-pokoje-47m2-na-krzykach-mglista-15-ID421Sz.html#1dc5a9f862
"41,25 m²","Wrocław, Krzyki, Południe",2 pokoje,9 939 zł/m²,https://www.otodom.pl/oferta/okolice-kosciuszki-do-zamieszkania-super-okazja-ID44US8.html#1dc5a9f862
"62,68 m²","Wrocław, Krzyki, Ołtaszyn",2 pokoje,11 806 zł/m²,https://www.otodom.pl/oferta/dwupoziomowe-mieszkanie-garderoba-balkon-ID44US6.html#1dc5a9f862
"138,58 m²","Wrocław, Fabryczna, Oporów",5 pokoi,6 400 zł/m²,https://www.otodom.pl/oferta/oporow-apartament-rabat-56-000-zl-juz-gotowe-ID44UDc.html#1dc5a9f862
52 m²,"Wrocław, Krzyki",3 pokoje,8 173 zł/m²,https://www.otodom.pl/oferta/okolice-ul-partynickiej-52m2-piwnica-gotowe-ID44URP.html#1dc5a9f862
"117,67 m²","Wrocław, Psie Pole",6 pokoi,działka 63 m²,https://www.otodom.pl/oferta/dom-jednorodzinny-szeregowy-z-ogrodkiem-garaz-ID3WITV.html#1dc5a9f862
"68,44 m²","Wrocław, Fabryczna, Oporów",4 pokoje,6 400 zł/m²,https://www.otodom.pl/oferta/gotowe-4-pokoje-z-jasnym-salonem-na-oporowie-ID44Ezz.html#1dc5a9f862
"50,40 m²","Wrocław, dolnośląskie",3 pokoje,7 590 zł/m²,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-na-krzykach-ID44Ksj.html#1dc5a9f862
48 m²,"Wrocław, Śródmieście, Centrum",2 pokoje,8 646 zł/m²,https://www.otodom.pl/oferta/2-pokoje-centrum-renoma-48m2-rozklad-inwestycja-ID43uNN.html#1dc5a9f862
"59,52 m²","Wrocław, Fabryczna",3 pokoje,6 789 zł/m²,https://www.otodom.pl/oferta/3-pokojebalkontramwajaow-ID44U8C.html#1dc5a9f862
"74,67 m²","Wrocław, Fabryczna",4 pokoje,7 190 zł/m²,https://www.otodom.pl/oferta/4-pokojeatrakcyjna-cenasmart-homeparkaow-ID44U6j.html#1dc5a9f862
"62,38 m²","Wrocław, Psie Pole",3 pokoje,4 809 zł/m²,https://www.otodom.pl/oferta/3-pokojepromocyjna-cena-ID44SQi.html#1dc5a9f862
"47,90 m²","Wrocław, Śródmieście",2 pokoje,10 750 zł/m²,https://www.otodom.pl/oferta/2-pokbalkonpark-szczytnicki-lokalizacja-idealna-ID44SPz.html#1dc5a9f862
"150,80 m²","Wrocław, dolnośląskie",5 pokoi,działka 170 m²,https://www.otodom.pl/oferta/dom-oltaszyn-150m2-4-pokoje-ID44UPq.html#1dc5a9f862
